Frame, Time, HP, Atk, Def, SpD, SpD, Spe
61, 0:01.01, B, 16, 22, A, 28, A
62, 0:01.03, 10, 3, A, 30, A, A
63, 0:01.05, 5, A, A, 20, A, 4
64, 0:01.06, 4, B, 14, 0, A, 20
65, 0:01.08, 20, B, 25, A, 24, B
66, 0:01.10, B, 5, B, A, 10, 11
67, 0:01.11, 11, 25, A, 25, 3, A
68, 0:01.13, 24, 25, 3, A, B, 0
69, 0:01.15, 0, 21, B, B, 16, A
70, 0:01.16, 0, B, 16, 17, 5, B
71, 0:01.18, 22, B, 5, B, A, 9
72, 0:01.20, 9, A, B, 10, B, 11
73, 0:01.21, 11, A, 13, 16, A, B
74, 0:01.23, 14, B, 9, A, B, 8
75, 0:01.25, 8, A, 13, 26, B, B
76, 0:01.26, B, 26, B, B, 30, 11
77, 0:01.28, 11, B, 30, 7, 26, A
78, 0:01.30, 15, 7, A, B, 11, A
79, 0:01.31, 20, 30, A, 2, 29, A
80, 0:01.33, 31, A, 29, A, 16, 30
81, 0:01.35, 30, A, 16, A, 24, 1
82, 0:01.36, 1, B, A, 4, A, 21
83, 0:01.38, 21, A, A, 7, 1, B
84, 0:01.40, 17, 7, B, A, 4, 26
85, 0:01.41, A, A, 4, 3, 9, A
86, 0:01.43, A, B, 9, A, 19, 0
87, 0:01.45, 0, B, 19, A, 9, 4
88, 0:01.46, B, 30, 9, B, 13, 2
89, 0:01.48, A, 29, 13, 2, 10, B
90, 0:01.50, B, 2, 10, B, 7, 28
91, 0:01.51, 28, B, 7, 18, 8, A
92, 0:01.53, 2, 18, A, 17, 1, B
93, 0:01.55, 26, B, 1, 8, 11, A
94, 0:01.56, 5, B, A, 14, 4, 18
95, 0:01.58, 18, 14, 4, 0, B, B
96, 0:01.60, B, 0, B, A, 21, 29
97, 0:01.61, 29, 31, 21, 23, A, B
98, 0:01.63, A, 23, B, 19, A, 0
99, 0:01.65, 0, 19, 14, A, B, A
100, 0:01.66, 27, 8, A, 25, 5, A
101, 0:01.68, A, B, 5, 5, 13, A
102, 0:01.70, 9, B, 13, 12, A, 19
103, 0:01.71, 19, B, 11, B, 2, B
104, 0:01.73, 6, 11, B, 9, A, 13
105, 0:01.75, 13, 9, B, 15, A, 0
106, 0:01.76, 0, 15, 8, 19, A, A
107, 0:01.78, 20, A, 16, 30, 28, A
108, 0:01.80, 4, B, 28, 24, A, 11
109, 0:01.81, 11, 24, 10, B, B, 3
110, 0:01.83, 3, 17, B, B, 10, 3
111, 0:01.85, B, 2, 10, 18, 9, B
112, 0:01.86, B, 18, 9, B, B, 0
113, 0:01.88, 0, 27, 18, 2, B, B
114, 0:01.90, 2, B, B, 19, B, 2
115, 0:01.91, 2, 19, 21, 11, B, A
116, 0:01.93, 9, 11, 28, 10, 3, B
117, 0:01.95, 27, A, 3, 14, 15, A
118, 0:01.96, 13, 14, 15, B, 1, B
119, 0:01.98, 19, A, 1, 5, 8, A
120, 0:02.00, B, 5, 8, A, A, 25
121, 0:02.01, 25, 8, 4, A, B, A
122, 0:02.03, A, B, 31, B, 13, 6
123, 0:02.05, 6, A, 13, 20, 29, 25
124, 0:02.06, B, 20, A, 9, 31, B
125, 0:02.08, 26, B, 31, A, 15, A
126, 0:02.10, 3, B, A, 7, 16, 12
127, 0:02.11, 12, B, 16, 15, A, B
128, 0:02.13, 16, A, 30, B, 1, 17
129, 0:02.15, 17, 13, A, 5, A, B
130, 0:02.16, A, A, 23, 13, B, 16
131, 0:02.18, 16, 13, 20, B, B, A
132, 0:02.20, 9, A, B, 30, 2, B
133, 0:02.21, 28, 30, B, A, 8, B
134, 0:02.23, 7, 29, A, 31, B, A
135, 0:02.25, 7, B, 30, B, 26, A
136, 0:02.26, 6, 29, 26, 30, 10, A
137, 0:02.28, 20, 30, 10, A, 1, 9
138, 0:02.30, 9, A, 1, 7, B, 5
139, 0:02.31, 5, 7, A, B, 1, B
140, 0:02.33, 18, B, B, 24, 18, 5
141, 0:02.35, 5, 24, B, 20, B, B
142, 0:02.36, B, B, 29, 6, B, 19
143, 0:02.38, 19, 6, 9, 0, B, B
144, 0:02.40, 14, B, 18, 0, A, 0
145, 0:02.41, 0, 0, A, 6, B, B
146, 0:02.43, 11, A, 28, B, B, 31
147, 0:02.45, 31, B, 0, A, B, 15
148, 0:02.46, 15, A, 11, 28, 18, A
149, 0:02.48, A, 28, 18, 18, B, 17
150, 0:02.50, 17, B, 28, 25, B, A
151, 0:02.51, 19, A, 19, 20, B, 6
152, 0:02.53, 6, 20, 26, A, A, 9
153, 0:02.55, 9, 24, A, A, 28, B
154, 0:02.56, 23, B, 28, 15, B, 8
155, 0:02.58, 8, B, 23, 22, B, B
156, 0:02.60, 0, 22, B, 31, A, B
157, 0:02.61, B, 31, 26, 17, A, A
158, 0:02.63, 13, A, 28, 1, B, A
159, 0:02.65, 28, 1, B, B, 14, A
160, 0:02.66, 16, B, 14, 4, B, B
161, 0:02.68, B, 4, 0, 10, B, B
162, 0:02.70, 13, B, 31, B, B, 3
163, 0:02.71, 3, B, 29, B, 17, B
164, 0:02.73, 10, B, 17, 20, B, 16
165, 0:02.75, 16, 20, 29, 17, B, B
166, 0:02.76, 3, B, 27, 10, A, B
167, 0:02.78, 27, 10, 14, A, B, B
168, 0:02.80, 17, 30, B, 13, A, A
169, 0:02.81, 7, A, 7, 29, B, 15
170, 0:02.83, 15, A, 26, 5, 20, A
171, 0:02.85, 3, 5, 20, A, A, 21
172, 0:02.86, 21, 7, 22, A, A, 31
173, 0:02.88, 31, A, 4, A, 1, 8
174, 0:02.90, 8, 25, 1, A, A, 13
175, 0:02.91, 13, B, A, A, 2, 22
176, 0:02.93, A, B, 2, A, 4, 6
177, 0:02.95, 6, A, B, B, 17, 4
178, 0:02.96, 4, B, 17, A, 21, A
179, 0:02.98, B, 23, 21, B, A, 12
180, 0:03.00, 12, 4, B, 1, A, A
181, 0:03.01, B, A, 30, 29, 8, 22
182, 0:03.03, 22, A, 8, 12, B, 5
183, 0:03.05, A, B, 13, 2, B, 10
184, 0:03.06, 10, B, 28, B, 25, B
185, 0:03.08, 25, 30, 25, B, B, A
186, 0:03.10, B, 7, 13, 12, B, 11
187, 0:03.11, 11, A, 9, 18, B, B
188, 0:03.13, 0, B, 4, B, 4, 10
189, 0:03.15, 10, 25, 4, 2, 7, A
190, 0:03.16, B, A, 7, 23, 13, A
191, 0:03.18, 11, 23, 13, A, 11, B
192, 0:03.20, 1, B, 11, 0, 12, A
193, 0:03.21, 24, A, 12, 31, B, B
194, 0:03.23, B, A, 25, 26, B, 1
195, 0:03.25, 1, 26, 8, B, 9, A
196, 0:03.26, 5, 13, 9, A, B, A
197, 0:03.28, 20, 9, 19, 31, A, A
198, 0:03.30, 4, A, 29, B, 20, 23
199, 0:03.31, 23, B, 20, 23, B, A
200, 0:03.33, 17, B, B, 24, 20, 14
201, 0:03.35, 14, 24, B, 17, B, A
202, 0:03.36, 27, 17, A, B, 27, B
203, 0:03.38, 22, 2, 27, 5, A, B
204, 0:03.40, 20, B, 27, A, 17, 4
205, 0:03.41, 4, A, 17, 4, A, B
206, 0:03.43, 9, A, 14, A, 12, 25
207, 0:03.45, 25, A, 12, 23, 17, A
208, 0:03.46, 19, A, A, 14, 8, A
209, 0:03.48, 26, A, 8, A, A, 21
210, 0:03.50, 21, A, A, 8, A, 4
211, 0:03.51, 4, 8, A, B, 7, 8
212, 0:03.53, 8, 2, B, B, 20, 17
213, 0:03.55, 17, 26, B, A, 13, 4
214, 0:03.56, 4, 30, B, A, B, 20
215, 0:03.58, 20, 5, B, A, 16, A
216, 0:03.60, 6, 8, A, A, B, 18
217, 0:03.61, 18, 15, 15, A, 17, B
218, 0:03.63, 2, 9, 17, B, 2, B
219, 0:03.65, 23, B, B, 5, 25, 1
220, 0:03.66, 1, B, 25, B, B, 10
221, 0:03.68, 10, 31, 17, B, B, A
222, 0:03.70, 1, A, 4, 0, 4, B
223, 0:03.71, 30, A, 4, 10, B, B
224, 0:03.73, 12, B, 17, B, 19, 27
225, 0:03.75, 27, 28, 19, 0, B, B
226, 0:03.76, 1, 0, B, 6, B, B
227, 0:03.78, 17, B, 17, 15, B, B
228, 0:03.80, 3, 15, 30, 13, 6, A
229, 0:03.81, 16, 13, 6, A, B, B
230, 0:03.83, 17, A, 10, 18, 25, A
231, 0:03.85, 3, B, 25, A, 29, 11
232, 0:03.86, 11, 16, 29, 3, B, A
233, 0:03.88, B, A, 3, B, 20, 21
234, 0:03.90, 21, 28, B, 21, A, A
235, 0:03.91, 5, 21, A, B, 11, 24
236, 0:03.93, 24, B, 11, 2, 19, A
237, 0:03.95, 25, 2, B, B, 8, A
238, 0:03.96, 10, 28, 8, B, A, B
239, 0:03.98, 31, 22, B, B, B, 14
240, 0:04.00, 14, B, 29, B, B, 5
241, 0:04.01, 5, 15, B, B, A, 6
242, 0:04.03, 6, B, A, 19, A, 29
243, 0:04.05, 29, A, A, 17, 4, A
244, 0:04.06, 10, 17, A, A, A, 15
245, 0:04.08, 15, 5, 12, B, 6, A
246, 0:04.10, 3, A, 6, B, 10, 7
247, 0:04.11, 7, A, B, A, 3, 1
248, 0:04.13, A, 30, 3, 29, B, A
249, 0:04.15, 26, A, A, 29, 23, 30
250, 0:04.16, 30, B, A, 14, 1, 20
251, 0:04.18, 20, 14, B, A, 15, A
252, 0:04.20, 10, A, B, 24, A, 15
253, 0:04.21, 15, 24, A, 11, 12, A
254, 0:04.23, A, A, 12, 24, A, 0
255, 0:04.25, 0, A, 2, 3, A, A
256, 0:04.26, 25, 3, A, A, A, 8
257, 0:04.28, 8, B, 27, A, 19, 13
258, 0:04.30, 13, 5, 19, A, 15, B
259, 0:04.31, B, A, 15, A, 1, 12
260, 0:04.33, 12, 24, A, 15, 30, A
261, 0:04.35, 10, 15, A, A, 27, 20
262, 0:04.36, 20, A, 27, B, 18, 6
263, 0:04.38, A, B, 18, B, 23, 10
264, 0:04.40, B, A, 23, 17, 23, 25
265, 0:04.41, B, A, 23, 0, 21, B
266, 0:04.43, 6, 0, B, A, B, 26
267, 0:04.45, 26, B, 12, B, B, 8
268, 0:04.46, 8, B, 25, 2, A, 8
269, 0:04.48, B, 2, 5, 7, A, A
270, 0:04.50, 17, 7, A, 28, A, A
271, 0:04.51, 7, A, A, B, 12, 14
272, 0:04.53, 14, A, 12, 4, B, 15
273, 0:04.55, 15, B, 4, B, 31, A
274, 0:04.56, A, 24, 31, 24, 10, B
275, 0:04.58, 5, A, B, 5, 22, B
276, 0:04.60, 26, 5, 22, A, B, 0
277, 0:04.61, A, 2, 30, 23, B, B
278, 0:04.63, 28, 23, 12, B, 24, B
279, 0:04.65, 5, B, 24, 28, A, 4
280, 0:04.66, 4, A, 12, B, 4, B
281, 0:04.68, 27, 28, B, 24, 1, B
282, 0:04.70, 21, B, 1, 30, B, 10
283, 0:04.71, 10, 30, B, 1, A, 3
284, 0:04.73, B, 1, 23, A, B, 1
285, 0:04.75, 1, 12, B, 17, 21, A
286, 0:04.76, 1, 17, A, A, B, 24
287, 0:04.78, 24, 21, 28, 0, B, A
288, 0:04.80, 15, B, 10, A, 28, B
289, 0:04.81, 7, A, 28, 10, 2, 5
290, 0:04.83, 5, 10, A, B, 24, A
291, 0:04.85, 10, 14, A, 13, B, A
292, 0:04.86, 7, A, 29, B, B, 12
293, 0:04.88, 12, A, 7, 20, B, 20
294, 0:04.90, 20, A, B, 12, B, 9
295, 0:04.91, 9, 12, 1, A, 29, A
296, 0:04.93, 19, A, 29, 6, A, 14
297, 0:04.95, 14, A, 12, 30, A, A
298, 0:04.96, 20, A, 18, A, A, 27
299, 0:04.98, 27, B, A, 23, A, 13
300, 0:05.00, 13, 23, B, B, 9, 24
301, 0:05.01, B, B, 9, 12, 7, B
302, 0:05.03, B, 12, 7, B, B, 24
303, 0:05.05, 24, 16, 20, B, B, B
304, 0:05.06, 28, 2, 16, B, 13, B
305, 0:05.08, 30, 25, 13, 17, B, B
306, 0:05.10, 8, B, 4, 18, B, 3
307, 0:05.11, 3, B, 15, 20, A, 1
308, 0:05.13, 1, 20, A, 15, 9, B
309, 0:05.15, 13, 15, 9, 13, 30, B
310, 0:05.16, 21, A, 30, B, 2, 23
311, 0:05.18, 23, A, 2, 26, 9, B
312, 0:05.20, A, 26, 9, B, 24, B
313, 0:05.21, 29, B, B, B, 0, 13
314, 0:05.23, 13, B, 0, 20, B, B
315, 0:05.25, 0, 20, 18, B, B, 21
316, 0:05.26, 21, 2, 25, B, B, A
317, 0:05.28, 9, 1, 13, 30, B, A
318, 0:05.30, 26, 30, 24, A, A, 13
319, 0:05.31, 13, A, 17, 0, A, 23
320, 0:05.33, 23, A, 30, B, 3, A
321, 0:05.35, A, A, B, 8, 5, 17
322, 0:05.36, 17, B, 5, B, 31, A
323, 0:05.38, 3, 4, A, B, 20, B
324, 0:05.40, 28, B, 20, A, 20, 30
325, 0:05.41, 30, 9, 20, 25, 27, B
326, 0:05.43, A, 25, B, 7, 21, A
327, 0:05.45, 20, 7, 21, A, B, 17
328, 0:05.46, 17, A, 1, 4, A, A
329, 0:05.48, 22, A, A, 26, 8, 9
330, 0:05.50, 9, A, 8, 30, 22, A
331, 0:05.51, 17, A, 22, A, A, 14
332, 0:05.53, 14, B, 28, A, 6, 17
333, 0:05.55, 17, 22, 6, B, B, 20
334, 0:05.56, 20, B, 28, B, B, 28
335, 0:05.58, 28, 29, B, B, B, 0
336, 0:05.60, B, B, 1, 26, 24, B
337, 0:05.61, 28, B, 24, 12, A, B
338, 0:05.63, 10, 12, 28, A, B, A
339, 0:05.65, 0, A, 1, 16, 9, A
340, 0:05.66, 7, 16, 9, A, 18, A
341, 0:05.68, 29, A, 18, A, A, 23
342, 0:05.70, A, A, 24, A, 13, 5
343, 0:05.71, 5, A, A, 18, 2, 1
344, 0:05.73, 1, 18, 2, A, A, 6
345, 0:05.75, 6, 26, 3, B, 22, 16
346, 0:05.76, 16, A, 22, A, 16, 0
347, 0:05.78, 0, B, 16, B, A, 8
348, 0:05.80, A, 12, 23, 31, B, A
349, 0:05.81, B, 31, A, A, 16, 14
350, 0:05.83, 14, 11, 16, A, A, A
351, 0:05.85, A, B, 14, A, 28, 24
352, 0:05.86, 24, A, 28, A, 19, B
353, 0:05.88, 29, A, 19, B, 30, 26
354, 0:05.90, A, 26, 30, 23, B, 15
355, 0:05.91, 15, 23, B, B, B, 20
356, 0:05.93, 20, 10, B, 1, A, B
357, 0:05.95, 6, A, B, 16, A, 10
358, 0:05.96, 10, A, 6, 3, B, 15
359, 0:05.98, 15, B, 10, 23, A, 10
360, 0:06.00, 10, B, 0, 15, B, B
361, 0:06.01, B, B, 7, 21, 1, A
362, 0:06.03, 11, 21, B, A, 1, B
363, 0:06.05, 3, 25, 1, 1, 20, B
364, 0:06.06, 20, A, 20, B, 8, B
365, 0:06.08, 28, 25, 8, 27, A, 1
366, 0:06.10, 1, 27, 2, A, 2, B
367, 0:06.11, 25, B, 2, B, 4, 1
368, 0:06.13, 1, B, 4, B, 18, 16
369, 0:06.15, 16, 18, B, B, A, 11
370, 0:06.16, B, A, 2, 28, A, 5
371, 0:06.18, 5, 28, 31, A, A, 20
372, 0:06.20, 20, B, 3, 25, A, A
373, 0:06.21, 24, A, 1, 18, 25, B
374, 0:06.23, 11, B, 25, B, 12, 23
375, 0:06.25, 23, 7, 12, B, B, 11
376, 0:06.26, 11, B, B, 31, 3, 0
377, 0:06.28, 0, 31, 3, 2, B, B
378, 0:06.30, 4, 2, 23, B, B, A
379, 0:06.31, 16, 6, A, 26, A, 3
380, 0:06.33, 3, A, 12, 13, B, A
381, 0:06.35, 24, 13, B, A, A, 5
382, 0:06.36, 5, B, A, B, 12, 17
383, 0:06.38, 17, 19, 12, B, A, 27
384, 0:06.40, 27, A, B, A, 5, 3
385, 0:06.41, 3, A, 5, 27, 2, A
386, 0:06.43, 6, 27, A, A, 31, 22
387, 0:06.45, 22, 21, 31, B, A, 23
388, 0:06.46, A, A, B, 19, 20, 14
389, 0:06.48, B, A, 20, A, 11, 17
390, 0:06.50, A, 22, 11, A, A, 2
391, 0:06.51, 2, 1, 9, A, A, 6
392, 0:06.53, 6, B, 0, 11, A, 4
393, 0:06.55, 4, B, A, 18, B, 4
394, 0:06.56, 4, A, 25, B, 27, B
395, 0:06.58, 27, 18, 27, B, A, 6
396, 0:06.60, A, 30, 17, 13, B, A
397, 0:06.61, 0, B, B, 17, 5, 20
398, 0:06.63, 20, B, 5, 6, 12, 24
399, 0:06.65, 24, 6, 12, B, B, B
400, 0:06.66, 7, 11, 2, B, A, 3
401, 0:06.68, 3, 12, 29, 19, B, 20
402, 0:06.70, 20, 19, 3, 6, B, B
403, 0:06.71, 24, B, B, 3, B, 15
404, 0:06.73, 15, B, 2, 21, B, 7
405, 0:06.75, 7, 21, B, 29, A, 23
406, 0:06.76, 23, 29, 0, 20, 30, B
407, 0:06.78, 21, A, 30, B, A, 28
408, 0:06.80, 28, B, A, 1, 13, 19
409, 0:06.81, 19, A, 13, 10, A, B
410, 0:06.83, 19, B, B, A, 13, 25
411, 0:06.85, 25, 13, 13, B, B, 15
412, 0:06.86, B, A, 13, B, 2, 16
413, 0:06.88, 16, 19, 2, A, A, 7
414, 0:06.90, A, A, 6, 8, B, 16
415, 0:06.91, 16, B, 19, B, A, 7
416, 0:06.93, 7, 25, 27, A, B, B
417, 0:06.95, 28, 28, A, 3, 22, A
418, 0:06.96, 31, 3, 22, A, 15, A
419, 0:06.98, 31, A, 15, B, 21, A
420, 0:07.00, 12, B, 21, A, 4, 30
421, 0:07.01, 30, 15, B, B, 11, A
422, 0:07.03, 21, 10, B, A, B, 21
423, 0:07.05, B, 1, 8, A, B, 14
424, 0:07.06, 14, 16, A, 25, 9, A
425, 0:07.08, 26, 25, A, 18, B, 26
426, 0:07.10, 26, A, 29, 0, 17, B
427, 0:07.11, 31, B, 17, 5, A, B
428, 0:07.13, 14, 5, 6, A, A, B
429, 0:07.15, B, 7, 3, A, 16, A
430, 0:07.16, 23, A, 16, 21, A, B
431, 0:07.18, A, A, B, 3, 17, 28
432, 0:07.20, 28, B, A, 18, 16, B
433, 0:07.21, A, B, 16, 20, 28, B
434, 0:07.23, 14, 20, B, A, 6, B
435, 0:07.25, 1, 28, 6, 3, A, A
436, 0:07.26, A, A, 0, 30, 16, B
437, 0:07.28, 16, B, 16, B, A, 5
438, 0:07.30, 5, 2, 15, A, B, 6
439, 0:07.31, 6, 1, B, 30, B, A
440, 0:07.33, 29, B, A, 21, 7, B
441, 0:07.35, 5, B, 7, 20, B, 4
442, 0:07.36, 4, B, 28, 16, B, B
443, 0:07.38, 2, B, B, 19, 5, B
444, 0:07.40, 19, 19, 5, 23, A, B
445, 0:07.41, 29, 23, 29, A, A, B
446, 0:07.43, 28, 8, 30, 2, A, A
447, 0:07.45, 13, B, 22, A, 6, 5
448, 0:07.46, 5, A, 6, 20, B, 15
449, 0:07.48, 15, 20, B, B, 14, 11
450, 0:07.50, 11, 15, A, 7, B, 19
451, 0:07.51, 19, 7, B, A, 13, B
452, 0:07.53, 28, B, 13, A, B, 28
453, 0:07.55, A, 5, 15, B, A, 30
454, 0:07.56, 30, A, 6, 6, 10, B
455, 0:07.58, 15, 6, A, 15, A, B
456, 0:07.60, 10, B, A, 31, 5, B
457, 0:07.61, 3, B, B, 25, 11, 23
458, 0:07.63, B, 25, 11, B, B, 24
459, 0:07.65, 24, 24, 11, B, 26, A
460, 0:07.66, 17, B, 26, A, A, 20
461, 0:07.68, 20, A, 11, 28, A, A
462, 0:07.70, 16, 28, A, B, 8, A
463, 0:07.71, 27, B, 8, 29, 13, 5
464, 0:07.73, B, 29, 13, A, B, 3
465, 0:07.75, 3, 18, 24, A, A, 31
466, 0:07.76, 31, 0, A, A, A, 10
467, 0:07.78, 10, 25, 28, B, A, A
468, 0:07.80, 16, A, 17, 20, 27, 30
469, 0:07.81, B, 20, 27, B, A, 27
470, 0:07.83, 27, 13, 5, B, 28, A
471, 0:07.85, 19, B, 28, B, A, 22
472, 0:07.86, 22, A, B, 13, B, 0
473, 0:07.88, B, A, 17, B, 29, 30
474, 0:07.90, 30, 16, A, 18, A, B
475, 0:07.91, 21, 18, A, 23, A, A
476, 0:07.93, 24, A, 27, 2, 26, A
477, 0:07.95, 7, A, 26, 15, 26, A
478, 0:07.96, A, 15, A, A, 21, 15
479, 0:07.98, 15, 26, A, B, 12, 29
480, 0:08.00, 29, 31, B, B, 11, 4
481, 0:08.01, 4, B, 11, B, 18, 20
482, 0:08.03, 20, B, B, 21, 13, A
483, 0:08.05, 26, 21, 13, B, A, A
484, 0:08.06, 14, 11, 8, A, 31, B
485, 0:08.08, 18, 4, B, A, 30, A
486, 0:08.10, 20, 21, 30, B, A, 25
487, 0:08.11, 25, 16, A, 16, B, B
488, 0:08.13, 1, B, 28, B, 23, B
489, 0:08.15, 9, B, 23, B, 19, A
490, 0:08.16, 2, 9, B, A, B, 14
491, 0:08.18, 14, A, B, 4, 16, B
492, 0:08.20, 25, B, 16, 13, B, 20
493, 0:08.21, 20, B, 26, 29, 22, A
494, 0:08.23, 9, 29, 22, B, 27, B
495, 0:08.25, 15, 19, B, 7, A, A
496, 0:08.26, 13, 7, 31, A, 22, A
497, 0:08.28, 0, 21, 22, 3, A, A
498, 0:08.30, A, B, 1, 27, 23, 25
499, 0:08.31, 25, 27, 23, A, B, 7
500, 0:08.33, 7, A, B, 23, 2, 22
501, 0:08.35, 22, 23, A, A, B, 3
502, 0:08.36, 3, B, A, B, 8, 4
503, 0:08.38, 4, 30, 8, A, B, 14
504, 0:08.40, B, 10, 4, 28, A, 12
505, 0:08.41, 12, 28, A, A, A, 11
506, 0:08.43, 11, A, 1, 26, A, 24
507, 0:08.45, 24, 26, 17, A, A, 6
508, 0:08.46, 6, B, 14, A, 25, 23
509, 0:08.48, 23, B, 25, B, 26, 31
510, 0:08.50, 31, B, 26, B, 0, 0
511, 0:08.51, 0, 10, B, 26, B, B
512, 0:08.53, B, 26, 26, 13, A, B
513, 0:08.55, 4, 13, 20, A, A, B
514, 0:08.56, 0, A, 26, 3, B, A
515, 0:08.58, 28, B, 0, 8, B, A
516, 0:08.60, 11, A, 30, 27, 3, 7
517, 0:08.61, 7, A, 3, B, B, 31
518, 0:08.63, A, 8, 23, 1, 5, A
519, 0:08.65, 27, B, A, B, 5, 28
520, 0:08.66, 28, 26, 5, B, A, A
521, 0:08.68, 20, A, B, A, 20, 3
522, 0:08.70, 3, 3, 20, 26, A, B
523, 0:08.71, 9, B, A, B, 3, 14
524, 0:08.73, 14, A, 3, 8, 19, B
525, 0:08.75, 13, 8, 19, B, A, 8
526, 0:08.76, 8, A, A, 22, B, 5
527, 0:08.78, 5, B, B, 18, 20, A
528, 0:08.80, 26, 18, 20, B, 1, B
529, 0:08.81, 28, 6, B, 6, B, 11
530, 0:08.83, B, B, 28, 0, 7, A
531, 0:08.85, 23, A, 7, 12, 23, B
532, 0:08.86, 12, 12, B, 6, A, A
533, 0:08.88, 2, 6, 8, A, 21, A
534, 0:08.90, 3, A, 21, 17, 8, B
535, 0:08.91, A, A, 8, 19, B, 13
536, 0:08.93, 13, B, 30, 22, A, B
537, 0:08.95, A, 22, 17, 13, B, B
538, 0:08.96, B, B, 17, B, 13, 21
539, 0:08.98, 21, B, 13, B, 21, B
540, 0:09.00, 4, 28, B, 5, 4, A
541, 0:09.01, 20, A, 4, 28, 28, A
542, 0:09.03, 29, 28, 28, 10, 16, A
543, 0:09.05, 6, 10, 16, B, A, 25
544, 0:09.06, 25, A, B, 4, 17, A
545, 0:09.08, B, B, 17, 7, 15, A
546, 0:09.10, 25, 7, A, 31, 28, A
547, 0:09.11, B, 31, 28, A, 1, A
548, 0:09.13, 26, A, 1, 25, A, 4
549, 0:09.15, A, 25, A, A, 20, 8
550, 0:09.16, 8, B, 20, 26, A, A
551, 0:09.18, 29, B, 4, A, 16, B
552, 0:09.20, 2, A, 16, B, 6, B
553, 0:09.21, 11, 23, B, 10, A, A
554, 0:09.23, 2, 10, 31, A, 15, A
555, 0:09.25, 16, A, 15, 1, 9, A
556, 0:09.26, 24, 1, 9, B, 0, A
557, 0:09.28, 8, B, 0, B, 10, 23
558, 0:09.30, B, B, 10, 18, 19, B
559, 0:09.31, 5, 18, B, B, A, 20
560, 0:09.33, 20, 15, 6, B, 3, A
561, 0:09.35, 30, 18, A, 19, A, B
562, 0:09.36, 20, A, 14, B, 22, B
563, 0:09.38, 12, B, 22, 1, B, 7
564, 0:09.40, 7, 1, 17, B, A, B
565, 0:09.41, 9, A, 18, B, A, 5
566, 0:09.43, 5, 11, 23, A, A, B
567, 0:09.45, 18, B, 28, A, 6, A
568, 0:09.46, 28, 30, 6, B, 12, A
